Ticket Date Create Month Id;IWM Ticket Natural Key;Ticket Create Date;Ticket Modify Date;Ticket Type Label;Ticket Priority Label;Ticket Status Label;Ticket Short Description;Ticket External;Ticket Classification Label;Ticket Component Label;Ticket Organisation Assignee Servicegroup Label;IWM Service Label;IWM Ticket Count
2016M06;33558380;15.06.2016 11:34;10.01.2018 13:25;Incident;4;Closed;Fakturierung -Fehler;PRU;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_FAKTURIERUNG;IWM_Sales_ServiceDesk;GO;1
2016M06;33762332;30.06.2016 17:30;17.01.2018 11:32;Incident;4;Closed;[GO] [email] [Fehlermeldung F223 in GO];PRU;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_UEBERGREIFEND;IWM_Sales_ServiceDesk;GO;1
2016M07;33782048;02.07.2016 17:22;15.01.2018 06:31;Incident;4;Closed;[GO] [Email] [PRU] Fehlermeldung in GO;PRU;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_UEBERGREIFEND;IWM_Sales_ServiceDesk;GO;1
2016M08;34211810;04.08.2016 13:14;08.02.2018 11:10;Incident;3;Closed;[GO][E-Mail][Fehler im Angebotsformular in GO];PRU;SPECIAL_GO_DATA INCONSISTENCY;APPLICATION_SALES_GO_BUSINESS PROCESS_UEBERGREIFEND;IWM_Sales_ServiceDesk;GO;1
2016M08;34463747;25.08.2016 12:27;09.02.2018 09:57;Problem;2;Closed;Analyse: CoC-Worker hat bei Auft 0624250002 keine Druckinfo aufbereitet;PRU;SPECIAL_GO_DEFECT / BUG;APPLICATION_SALES_GO_BUSINESS PROCESS_AUFTRAG;SALES_GO_Auftrag;GO;1
2016M09;34910681;29.09.2016 14:39;01.02.2018 14:44;Request;3;Closed;Archivierung von Aufträgen;PRU;SPECIAL_GENERIC_DELETE;APPLICATION_SALES_GO_MODULE_AUFTRAGSABWICKLUNG_ARCHIVIERUNG;IWM_Sales_ServiceDesk;GO;1
2016M11;35471967;13.11.2016 21:29;11.01.2018 07:27;Change;4;Closed;R21 Urgent Fix during Cutover;;SPECIAL_CESAR_PGL_CHANGEREQUEST;APPLICATION_SALES_CESAR_MODULE_R3 SALES;IWM_Sales_ServiceDesk;CESAR;1
2016M12;35890582;13.12.2016 08:28;22.06.2018 10:42;Request;3;Closed;[GO] [Phone] [PRU] EDI Anbindung Werksversand Mexico (737 048300);PRU;SPECIAL_GO_REQUEST FOR INFORMATION;APPLICATION_SALES_GO_BUSINESS PROCESS_UEBERGREIFEND;IWM_Sales_ServiceDesk;GO;1
2017M01;36237715;16.01.2017 11:42;13.04.2018 06:10;Request;3;Closed;Pre Order sent from V+ missing in DFE;;SPECIAL_CESAR_PGL_ISSUE;APPLICATION_SALES_CESAR_MODULE_R3 SALES;IWM_Sales_ServiceDesk;CESAR;1
2017M02;36623617;10.02.2017 12:40;06.02.2018 11:08;Incident;3;WIP;CESAR LO ERROR Wrong valuation call for VS20 (sparte 5) local options;;PROBLEM_DEFECT/DESTRUCTION;APPLICATION_SALES_CESAR_MODULE_OTHER;MBR_SL_Sales_Logistics;CESAR;1
2017M02;36502950;02.02.2017 13:21;10.04.2018 18:02;Request;3;Closed;Change Text;BU Lead: IT;DEMAND_CONSULTING_DEMAND;APPLICATION_SALES_CESAR_MODULE_DFE;SveDan_APP_VehicleLogistics;CESAR;1
2017M02;36495269;02.02.2017 08:33;21.02.2018 10:42;Incident;3;Closed;Missing technical context data for 03T and BM 2132171 - Slovakia 580;PROD;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_PRODUKTSTAMMDATEN;SALES_S_GO_DataMgmt_Area2;GO;1
2017M02;36536162;06.02.2017 08:13;18.05.2018 07:37;Incident;3;Closed;BM 242.848 wrong technical data information for 87T and  45T [559];PROD;SPECIAL_GO_DATA INCONSISTENCY;APPLICATION_SALES_GO_MODULE_PPM_PRODUKTSTAMMDATEN;SALES_S_GO_DataMgmt_Area2;GO;1
2017M02;36741151;20.02.2017 08:39;18.05.2018 08:33;Incident;3;Closed;[GO] [Phone] [PRU] No context entered fot technical data record 39T and BM 238.366;PRU;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_PRODUKTSTAMMDATEN;SALES_S_GO_DataMgmt_Area2;GO;1
2017M02;36763962;21.02.2017 09:38;21.02.2018 10:56;Incident;3;Closed;No context entered for technical data record 03T and BM 156.947;;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_PRODUKTSTAMMDATEN;SALES_S_GO_DataMgmt_Area2;GO;1
2017M02;36779757;22.02.2017 07:16;21.02.2018 10:57;Incident;3;Closed;[GO] [E-Mail] [PRU] ALL MARKETS - Wrong power output for GLA 220 d;PRU;SPECIAL_GO_DATA INCONSISTENCY;APPLICATION_SALES_GO_BUSINESS PROCESS_AUFTRAG;SALES_S_GO_DataMgmt_Area2;GO;1
2017M02;36843530;27.02.2017 10:52;21.02.2018 10:57;Incident;3;Closed;[GO] [Phone] [PRU] No context entered for technical data record 39T and BM 238.366;PRU;SPECIAL_DFSCOCO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_PRODUKTSTAMMDATEN;SALES_S_GO_DataMgmt_Area2;GO;1
2017M02;36868894;28.02.2017 15:37;12.04.2018 07:03;Incident;3;Closed;TR | New Stock | There is no body type selection available;WAU;SPECIAL_GO_ABNORMALITY;APPLICATION_SALES_GO_BUSINESS PROCESS_PRODUKTSTAMMDATEN;SALES_BU_MBCPOS_AM;GO;1
2017M02;36584763;08.02.2017 12:33;19.03.2018 12:54;Incident;3;Closed;CESAR ORD: ZSOA Configurator not allowing to perform changes.;;SPECIAL_GENERIC_DATA INCONSISTENCY;APPLICATION_SALES_C2_MODULE_DATA;MB_Iberia_FL_CESAR_ES;OTHER;1
2017M03;37173846;21.03.2017 12:27;13.08.2018 08:09;Incident;3;Closed;CESAR FIN: Inbound invoice reversal not working after Returns.;;SPECIAL_CESAR_FAILURE;APPLICATION_SALES_CESAR_MODULE_R3 SALES;MB_Iberia_FL_CESAR_ES;CESAR;1
2017M03;37210313;23.03.2017 10:41;02.01.2018 15:43;Request;4;Closed;Archiving;PROD;SPECIAL_CESAR_NEW/CREATION;APPLICATION_SALES_CESAR_MODULE_R3 SALES;SAP_CESAR_FL_MBP_ALL;CESAR;1
2017M03;37211254;23.03.2017 11:29;04.05.2018 12:28;Request;4;Closed;Archiving 2017 - MBI;PROD;SPECIAL_CESAR_NEW/CREATION;APPLICATION_SALES_CESAR_MODULE_R3 SALES;MBI_CESAR_IT;CESAR;1
2017M03;36883229;01.03.2017 11:45;21.02.2018 10:41;Incident;3;Closed;[GO] [Phone] [PRU] WS205 M808 : Urgent Taxation problem (SR 06.03.17);PRU;SPECIAL_GO_DATA INCONSISTENCY;APPLICATION_SALES_GO_MODULE_PPM_OTHER;SALES_S_GO_DataMgmt_Area2;GO;1
2017M04;37367006;04.04.2017 08:15;10.01.2018 14:24;Request;3;Closed;Comm Number Archive 2017;;SPECIAL_CESAR_NEW/CREATION;APPLICATION_SALES_CESAR_MODULE_R3 SALES;MBxUK_Apps_Solutions_CESAR;CESAR;1
2017M04;37372321;04.04.2017 11:28;02.03.2018 10:00;Request;3;Closed;Order reason change;;DEVELOPMENT;APPLICATION_SALES_CESAR_MODULE_R3 SALES;MB_Iberia_FL_CESAR_SUPPORT_PRI;CESAR;1
2017M04;37395270;05.04.2017 13:16;04.01.2018 07:34;Request;3;Closed;CESAR Archiving MBDS;;HANDLING SUPPORT;APPLICATION_SALES_CESAR_MODULE_OTHER;SveDan_APP_VehicleLogistics;CESAR;1
2017M04;37628766;25.04.2017 06:52;04.05.2018 07:56;Request;4;Closed;RESET/UNLOCK USER/PASSWORD;;SPECIAL_CESAR_MODIFICATION_ACTIVATION;APPLICATION_SALES_CESAR_USER;IWM_Sales_ServiceDesk;CESAR;1
2017M04;37658882;26.04.2017 12:44;06.04.2018 19:08;Request;4;Closed;CONSULTING/INQUIRY: Dealer Group in CESAR;BU Lead: IT;SPECIAL_CESAR_MAINTENANCE;APPLICATION_SALES_CESAR_MODULE_OTHER;MB_Iberia_FL_CESAR_ES;CESAR;1
2017M04;37539051;18.04.2017 10:17;09.05.2018 07:10;Incident;3;Closed;Selektion BR 461 in COC-Regelwerk;INU;SPECIAL_GO_DEFECT / BUG;APPLICATION_SALES_GO_MODULE_ZULASSUNGSSTAMMDATEN_REGELWERK;IWM_Sales_ServiceDesk;GO;1
2017M04;37540677;18.04.2017 11:33;09.05.2018 07:12;Incident;3;Closed;Parametrierung G-Klasse Stufe2;INU;SPECIAL_GO_DEMAND_FUNCTIONAL;APPLICATION_SALES_GO_MODULE_ZULASSUNGSSTAMMDATEN_REGELWERK;IWM_Sales_ServiceDesk;GO;1
2017M04;37543769;18.04.2017 13:36;28.05.2018 06:15;Incident;3;Closed;[GO] [E-Mail] [PRU] Error while archiving;PRU;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_UEBERGREIFEND;IWM_ServiceMgmt;GO;1
2017M04;37544145;18.04.2017 13:52;28.05.2018 06:15;Incident;3;Closed;[GO] [E-Mail] [PRU] Error while archiving;PRU;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_BUSINESS PROCESS_UEBERGREIFEND;IWM_ServiceMgmt;GO;1
2017M04;37562828;19.04.2017 13:43;09.05.2018 07:09;Incident;3;Closed;manueller Start ZBII-Batch funktioniert nicht;INU;SPECIAL_GO_DEFECT / BUG;APPLICATION_SALES_GO_MODULE_ZULASSUNGSSTAMMDATEN_OTHER;IWM_Sales_ServiceDesk;GO;1
2017M04;37595522;21.04.2017 11:51;31.01.2018 08:35;Incident;3;Closed;[MBCPOS][PROD][<GCC] POS confuguration, same problem with E-Class;PRU;SPECIAL_MBCPOS_ABNORMALITY;APPLICATION_SALES_MBCPOS_MODULE_GENERAL;DCCH_FL_SERVICEDESK_RETAIL;MBCPOS;1
2017M04;37378961;04.04.2017 16:16;16.05.2018 09:59;Incident;3;Closed;"[CESAR][PC1]CESAR LO- Incorrect invoicing FUSO; Actual pricing date not taken into account for credit check / invoice";PROD;SPECIAL_GENERIC_DATA INCONSISTENCY;APPLICATION_SALES_C2_MODULE_DATA;MB_NL_CESAR;OTHER;1
2017M04;37390224;05.04.2017 09:57;01.08.2018 10:17;Request;3;Closed;CESAR VMS (PC1):  Auth Req ST22 - Application Support;;ADMINISTRATION_USER;APPLICATION_MBXUK_SALES_CESAR_MODULE_VMS;MBxUK_Apps_Solutions;OTHER;1
2017M05;37934087;17.05.2017 10:13;09.05.2018 07:08;Incident;3;Closed;COC-Vehicle messages failed in PI due to data issue;;SPECIAL_CESAR_FAILURE;APPLICATION_SALES_CESAR_MODULE_SAP PI;IWM_Sales_ServiceDesk;CESAR;1
2017M05;37753592;04.05.2017 07:30;30.07.2018 07:42;Request;3;Closed;Consolidated Cesar APIs into one API;;SPECIAL_CESAR_IMPLEMENTATION;APPLICATION_SALES_CESAR_INFRASTRUCTURE_INTERFACE;DCL_SALES_CESAR_DEMAND;CESAR;1
2017M05;37970171;19.05.2017 09:34;09.05.2018 07:05;Incident;3;Closed;Aktualisierung Parameter Typshildart;PRU;SPECIAL_GO_DATA INCONSISTENCY;APPLICATION_SALES_GO_MODULE_ZULASSUNGSSTAMMDATEN_OTHER;IWM_Sales_ServiceDesk;GO;1
2017M05;37725428;02.05.2017 15:17;26.02.2018 13:25;Incident;4;Closed;MB ALL MKT PDT - Marketing produits : demande diverse;Information Demand;DEMAND_GENERAL;LOCATIONS/PROJECTS_MBF_DGVP_MKT_PDT DIVERS_MB ALL;MBCG_DGVP_CIR_5060;OTHER;1
2017M06;38417189;22.06.2017 14:21;09.05.2018 06:20;Incident;2;Closed;Queuestop WORK.21;PRU;SPECIAL_GO_ERROR WITH MESSAGE;APPLICATION_SALES_GO_INFRASTRUCTURE_MQS;IWM_SSD_EK;GO;1
2017M06;38449954;26.06.2017 09:15;09.02.2018 11:34;Incident;2;Closed;Werk Tuscaloosa hat von SE08 leere IWSSDITD-Nachrichten erhalten;PRU;SPECIAL_GO_DEFECT / BUG;APPLICATION_SALES_GO_INTERFACE_WERKSSCHNITTSTELLE;SALES_GO_WSS;GO;1
2017M06;38125034;01.06.2017 04:55;09.05.2018 07:04;Incident;3;Closed;Sichtbarkeit manuelle ZBII-Start;PRU;SPECIAL_GO_DEMAND_FUNCTIONAL;APPLICATION_SALES_GO_MODULE_ZULASSUNGSSTAMMDATEN_OTHER;IWM_Sales_ServiceDesk;GO;1
2017M06;38125100;01.06.2017 04:58;07.06.2018 09:01;Incident;3;Closed;G-Klasse COC-Code;WAU;SPECIAL_GO_DEFECT / BUG;APPLICATION_SALES_GO_MODULE_ZULASSUNGSSTAMMDATEN_OTHER;IWM_Sales_ServiceDesk;GO;1
